Platform,Device,ECC,Copy,Mul,Add,Triad,Best GB/s,Peak,Percentage
AMD,FirePro S10000,Off,202334.005,202607.623,206313.435,205839.449,206,240,86.0
AMD,FirePro S9150,Off,175275.054,172765.213,271254.828,271794.459,272,320,84.9
AMD,Radeon R9 295X2,Off,257397.667,266888.442,272780.981,270801.525,273,320,85.2
AMD,Radeon R9 290X,Off,257320.921,265161.454,272112.619,271556.605,272,320,85.0
AMD,Radeon 7970,Off,211122.437,212108.366,219478.174,219383.16,219,264,83.1
AMD,A10 7850K Radeon R7,Off,16897.342,16690.679,16331.946,16262.937,17,34.1,49.6
AMD,R9 Fury X,Off,351139.404,400256.512,388737.861,385242.562,400,512,78.2
NVIDIA,GTX 580,Off,176151,176314,172099,171998,176,192.384,91.6
NVIDIA,GTX 780 Ti,Off,272926,275240,281845,281601,282,336.5,83.8
NVIDIA,GTX 980,Off,168866,168856,171015,171096,171,224,76.4
NVIDIA,GTX 980 Ti,Off,263595,263768,268115,268015,268,336,79.8
NVIDIA,K20c,Off,169228.501,169313.85,172816.441,172945.582,173,208,83.1
NVIDIA,K20c,On,150397.867,150241.232,151673.787,151699.186,152,182,83.4
NVIDIA,K40c,Off,213696.013,214286.39,217204.275,217420.998,217,288,75.5
NVIDIA,K40c,On,190354.872,190199.107,190946.38,190991.101,191,252,75.8
NVIDIA,K80,Off,204118.601,204369.626,204705.951,204615.651,205,240,85.3
NVIDIA,K80,On,181989.324,181996.901,182062.121,181988.951,182,210,86.7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,